"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2800","User login with correct email and password","LMS system","Fri Aug 22 15:04:23 GMT 2025","passed","Fri Aug 22 15:04:26 GMT 2025","Authorization","Authentication","",""
"","1586","User login with wrong email or password","LMS system","Fri Aug 22 15:04:21 GMT 2025","passed","Fri Aug 22 15:04:23 GMT 2025","Authorization","Authentication","",""
"","1391","Check displaying of empty courses list","LMS system","Fri Aug 22 15:04:29 GMT 2025","passed","Fri Aug 22 15:04:31 GMT 2025","Courses","Courses","",""
"","1495","Registration with correct email, username and password","LMS system","Fri Aug 22 15:04:26 GMT 2025","passed","Fri Aug 22 15:04:28 GMT 2025","Registration","Authentication","",""
"","2017","Create course","LMS system","Fri Aug 22 15:04:28 GMT 2025","passed","Fri Aug 22 15:04:30 GMT 2025","Courses","Courses","",""
"","1620","Check displaying of dashboard page","LMS system","Fri Aug 22 15:04:31 GMT 2025","passed","Fri Aug 22 15:04:33 GMT 2025","Dashboard","Dashboard","",""
"","1633","User login with wrong email or password","LMS system","Fri Aug 22 15:04:21 GMT 2025","passed","Fri Aug 22 15:04:23 GMT 2025","Authorization","Authentication","",""
"","1449","Navigation from login page to registration page","LMS system","Fri Aug 22 15:04:25 GMT 2025","passed","Fri Aug 22 15:04:27 GMT 2025","Authorization","Authentication","",""
"","2668","Edit course","LMS system","Fri Aug 22 15:04:31 GMT 2025","passed","Fri Aug 22 15:04:33 GMT 2025","Courses","Courses","",""
"","1501","User login with wrong email or password","LMS system","Fri Aug 22 15:04:23 GMT 2025","passed","Fri Aug 22 15:04:25 GMT 2025","Authorization","Authentication","",""
